rank,image_path,state,predicted_text,predicted_length,confidence,verified_text,notes
32,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/PUERTO RICO/025.jpg,PUERTO RICO,AFM6999,7,0.992,AFM699,
33,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/U S VIRGIN ISLANDS/034.jpg,U S VIRGIN ISLANDS,CHP1060,7,0.9931,CHP1060,
34,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WASHINGTON DC/100.jpg,WASHINGTON DC,HTT2229,7,0.9829,HT2229,
35,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WYOMING/010.jpg,WYOMING,IIM2467,7,0.8612,112467,
36,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ARIZONA/090.jpg,ARIZONA,CCX4344,7,0.9921,CCX4344,
37,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CALIFORNIA/070.jpg,CALIFORNIA,MHM1440,7,0.9524,MHM140,
38,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CONNECTICUT/089.jpg,CONNECTICUT,PZZ7686,7,0.9843,PZ7678,
39,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/GEORGIA/130.jpg,GEORGIA,PVT7484,7,0.9923,PVT7484,
40,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/valid/IDAHO/3.jpg,IDAHO,BBF1788,7,0.9814,BBF178,
41,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ILLINOIS/048.jpg,ILLINOIS,JLZ2959,7,0.9846,JL2959,
42,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/test/KANSAS/5.jpg,KANSAS,XPQ5800,7,0.9882,XPQ580,
43,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MARYLAND/076.jpg,MARYLAND,AOO0956,7,0.9899,A000956,
44,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/test/MICHIGAN/1.jpg,MICHIGAN,DNJ0955,7,0.9904,DNJ0955,
45,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MONTANA/011.jpg,MONTANA,MHP3225,7,0.9834,MHP325,
46,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW HAMPSHIRE/134.jpg,NEW HAMPSHIRE,AIO8588,7,0.9906,4108588,
47,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW YORK/012.jpg,NEW YORK,CNY7445,7,0.9926,CNY7445,
48,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NORTH CAROLINA/100.jpg,NORTH CAROLINA,MTV6027,7,0.992,MTV6027,
49,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/OHIO/105.jpg,OHIO,AAA8883,7,0.992,AAA8883,
50,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/PENNSYLVANIA/036.jpg,PENNSYLVANIA,HJG7985,7,0.9925,HJG7985,
51,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/TENNESSEE/028.jpg,TENNESSEE,KHL2233,7,0.9889,KHL223,
52,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/TEXAS/129.jpg,TEXAS,LHD8448,7,0.9924,LHD8448,
53,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/VIRGINIA/088.jpg,VIRGINIA,AAA1234,7,0.9904,AA1234,
54,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WASHINGTON/139.jpg,WASHINGTON,ZAP2335,7,0.9921,ZAP235,
55,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WEST VIRGINIA/062.jpg,WEST VIRGINIA,NUX8000,7,0.9928,NIX800,
56,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WISCONSIN/015.jpg,WISCONSIN,APC4842,7,0.9913,APC4842,
57,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ALASKA/033.jpg,ALASKA,CJR4620,7,0.9866,CJR620,
58,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ARKANSAS/080.jpg,ARKANSAS,MGN5166,7,0.9902,MGN516,
59,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/COLORADO/023.jpg,COLORADO,ALG5936,7,0.9891,AL5936,
60,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/test/DELAWARE/3.jpg,DELAWARE,CIO0419,7,0.9255,C100419,
61,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/FLORIDA/001.jpg,FLORIDA,SLS5923,7,0.9819,SLS5923,
62,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/INDIANA/103.jpg,INDIANA,IOC2722,7,0.9855,10C2722,
63,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/IOWA/017.jpg,IOWA,EMV2955,7,0.9681,EMV295,
64,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/KENTUCKY/082.jpg,KENTUCKY,MND3500,7,0.9815,MND350,
65,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/LOUISIANA/025.jpg,LOUISIANA,JRD3822,7,0.9879,JRD382,
66,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MAINE/135.jpg,MAINE,I9O7688,7,0.8771,I90768,
67,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MASSACHUSETTS/008.jpg,MASSACHUSETTS,BBX7331,7,0.9513,8BX731,
68,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MINNESOTA/095.jpg,MINNESOTA,EOJ7334,7,0.9913,E0J734,
69,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MISSOURI/102.jpg,MISSOURI,NTA3933,7,0.9853,NTA393,
70,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEBRASKA/012.jpg,NEBRASKA,NAA0000,7,0.9899,NAA000,
71,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEVADA/054.jpg,NEVADA,LTO3I61,7,0.9696,LT03161,
72,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW JERSEY/090.jpg,NEW JERSEY,ZEN100C,7,0.9756,ZEN10C,
73,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW MEXICO/020.jpg,NEW MEXICO,NMT0451,7,0.9349,NMT0451,
74,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NORTH DAKOTA/060.jpg,NORTH DAKOTA,GMN3033,7,0.9921,GMN303,
75,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/OKLAHOMA/065.jpg,OKLAHOMA,ZZA9741,7,0.9906,ZZA9741,
76,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/valid/OREGON/2.jpg,OREGON,OAW4625,7,0.9595,OA4625,
77,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/RHODE ISLAND/092.jpg,RHODE ISLAND,SVV1944,7,0.9847,SV194,
78,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/SOUTH CAROLINA/137.jpg,SOUTH CAROLINA,HCC7566,7,0.9892,HC7566,
79,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/SOUTH DAKOTA/068.jpg,SOUTH DAKOTA,BNL7033,7,0.9852,BNL703,
80,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/UTAH/022.jpg,UTAH,BIO4111,7,0.9655,B104TT,
81,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/VERMONT/062.jpg,VERMONT,HGK5800,7,0.9742,HGK580,
82,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ALABAMA/061.jpg,ALABAMA,AMO0940,7,0.9792,AM00940,
83,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/AMERICAN SAMOA/111.jpg,AMERICAN SAMOA,DHS0004,7,0.9835,DHS004,
84,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CNMI/84.jpg,CNMI,ABS4338,7,0.9884,ABS438,
85,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/GUAM/091.jpg,GUAM,AGA1003,7,0.993,AGA1003,
86,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/HAWAI/067.jpg,HAWAI,MAU0229,7,0.9876,MAU029,
87,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/valid/MISSIPPI/1.jpg,MISSIPPI,KYH6088,7,0.988,KYH608,
88,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/PUERTO RICO/132.jpg,PUERTO RICO,EBM0033,7,0.9901,EBM003,
89,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/U S VIRGIN ISLANDS/049.jpg,U S VIRGIN ISLANDS,CDU8200,7,0.9902,CDU820,
90,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WASHINGTON DC/113.jpg,WASHINGTON DC,BCZ2796,7,0.9784,BC2796,
91,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WYOMING/072.jpg,WYOMING,IAA8865,7,0.7844,18865,
92,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ARIZONA/114.jpg,ARIZONA,SLS5923,7,0.9881,SLS5923,
93,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CALIFORNIA/146.jpg,CALIFORNIA,6UCP708,7,0.933,6UCP708,
94,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CONNECTICUT/074.jpg,CONNECTICUT,MOB8024,7,0.9777,WO8023,
95,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/GEORGIA/045.jpg,GEORGIA,PGJ5777,7,0.9903,PGJ5777,
96,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/IDAHO/107.jpg,IDAHO,IAT3292,7,0.9783,1AT3292,
97,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ILLINOIS/091.jpg,ILLINOIS,AH92098,7,0.9734,AH92098,
98,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/KANSAS/103.jpg,KANSAS,SAM7233,7,0.9873,SAM123,
99,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MARYLAND/142.jpg,MARYLAND,FPO6902,7,0.989,FP06902,
100,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MICHIGAN/066.jpg,MICHIGAN,GLH9000,7,0.9891,GLH900,
101,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MONTANA/064.jpg,MONTANA,BYK9977,7,0.9547,BYK997,
102,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW HAMPSHIRE/119.jpg,NEW HAMPSHIRE,BBB0000,7,0.9826,8880000,
103,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/test/NEW YORK/5.jpg,NEW YORK,CHT9032,7,0.9922,CHT9032,
104,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NORTH CAROLINA/116.jpg,NORTH CAROLINA,BAC5359,7,0.992,BAC5359,
105,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/OHIO/046.jpg,OHIO,GEY9096,7,0.9919,GEY9096,
106,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/PENNSYLVANIA/085.jpg,PENNSYLVANIA,PAI2470,7,0.9924,PA12470,
107,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/TENNESSEE/102.jpg,TENNESSEE,CRA3055,7,0.988,CRA305,
108,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/TEXAS/088.jpg,TEXAS,GMJ7743,7,0.9918,GMJ7743,
109,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/test/VIRGINIA/5.jpg,VIRGINIA,FZM5877,7,0.9902,FZM587,
110,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WASHINGTON/022.jpg,WASHINGTON,BBK0767,7,0.9916,BBK0767,
111,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WEST VIRGINIA/005.jpg,WEST VIRGINIA,OJF3300,7,0.9889,OJF330,
112,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WISCONSIN/063.jpg,WISCONSIN,ADA7373,7,0.9812,ADA7373,
113,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ALASKA/127.jpg,ALASKA,YZB1822,7,0.9852,YZB182,
114,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ARKANSAS/076.jpg,ARKANSAS,OPT0988,7,0.9899,OPT098,
115,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/COLORADO/055.jpg,COLORADO,DMC4583,7,0.9855,DMC4583,
116,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/DELAWARE/023.jpg,DELAWARE,EAA9035,7,0.9244,449035,
117,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/FLORIDA/109.jpg,FLORIDA,BBA4834,7,0.9689,BBA834,
118,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/INDIANA/146.jpg,INDIANA,SWR5149,7,0.9719,SWR5149,
119,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/IOWA/114.jpg,IOWA,NZZ6975,7,0.9671,NZ6975,
120,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/KENTUCKY/025.jpg,KENTUCKY,PMR3222,7,0.9795,PMR322,
121,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/LOUISIANA/144.jpg,LOUISIANA,GLC3433,7,0.9869,GLC343,
122,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MAINE/098.jpg,MAINE,IA37465,7,0.8175,1437465,
123,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MASSACHUSETTS/126.jpg,MASSACHUSETTS,NBO8755,7,0.8685,N80875,
124,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MINNESOTA/066.jpg,MINNESOTA,LBP4066,7,0.9886,LBP406,
125,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MISSOURI/034.jpg,MISSOURI,KRG7400,7,0.9771,KRG740,
126,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEBRASKA/130.jpg,NEBRASKA,NTQ6222,7,0.9869,NTQ622,
127,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEVADA/094.jpg,NEVADA,SOO0000,7,0.9516,S00000,
128,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW JERSEY/062.jpg,NEW JERSEY,KWU9099,7,0.961,KWU909,
129,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW MEXICO/049.jpg,NEW MEXICO,PDK9095,7,0.9347,PDK095,
130,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NORTH DAKOTA/133.jpg,NORTH DAKOTA,HGV2433,7,0.9918,HGV243,
131,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/OKLAHOMA/018.jpg,OKLAHOMA,MHJ0004,7,0.9896,MHJ004,
132,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/valid/OREGON/3.jpg,OREGON,PZZ4550,7,0.9592,HP27450,
133,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/RHODE ISLAND/086.jpg,RHODE ISLAND,PPC1000,7,0.981,PC100,
134,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/SOUTH CAROLINA/083.jpg,SOUTH CAROLINA,SAM0000,7,0.988,SAM000,
135,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/SOUTH DAKOTA/099.jpg,SOUTH DAKOTA,AGB5877,7,0.9841,AGB587,
136,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/UTAH/048.jpg,UTAH,AIH3665,7,0.9109,AH3665,
137,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/VERMONT/132.jpg,VERMONT,AAB6998,7,0.9466,AAB698,
138,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ALABAMA/006.jpg,ALABAMA,KAA200C,7,0.9558,KAA20C,
139,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/AMERICAN SAMOA/090.jpg,AMERICAN SAMOA,DHS0004,7,0.9823,DHS004,
140,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CNMI/70.jpg,CNMI,ACN1677,7,0.9797,ACN167,
141,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/GUAM/120.jpg,GUAM,MAN8402,7,0.9928,MAN8402,
142,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/HAWAI/131.jpg,HAWAI,ZAU7334,7,0.9841,ZAU734,
143,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MISSIPPI/013.jpg,MISSIPPI,RAD7908,7,0.9855,RAD908,
144,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/valid/PUERTO RICO/5.jpg,PUERTO RICO,HJH4888,7,0.99,HJH488,
145,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/U S VIRGIN ISLANDS/051.jpg,U S VIRGIN ISLANDS,CBW5955,7,0.9892,CBW595,
146,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WASHINGTON DC/108.jpg,WASHINGTON DC,CCC6420,7,0.959,CC6420,
147,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WYOMING/041.jpg,WYOMING,IJN2419,7,0.778,132419,
148,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ARIZONA/005.jpg,ARIZONA,SLS5923,7,0.9873,SLS5923,
149,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CALIFORNIA/127.jpg,CALIFORNIA,6RIW647,7,0.9281,6RIW647,
150,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/CONNECTICUT/058.jpg,CONNECTICUT,WHO5155,7,0.9747,WHO515,
151,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/GEORGIA/019.jpg,GEORGIA,PXE9860,7,0.9899,PXE9860,
152,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/IDAHO/104.jpg,IDAHO,KII7772,7,0.9753,K11772,
153,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ILLINOIS/068.jpg,ILLINOIS,LPP2608,7,0.9726,LP2608,
154,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/KANSAS/106.jpg,KANSAS,SSQ5332,7,0.9847,SSQ532,
155,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MARYLAND/169.jpg,MARYLAND,FXD8477,7,0.9882,FXD847,
156,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MICHIGAN/118.jpg,MICHIGAN,CFW6000,7,0.9888,CFW600,
157,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MONTANA/055.jpg,MONTANA,KYS5949,7,0.9423,KYSS949,
158,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW HAMPSHIRE/109.jpg,NEW HAMPSHIRE,CCS9333,7,0.9634,CCS933,
159,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW YORK/101.jpg,NEW YORK,FSH3362,7,0.991,FSH3362,
160,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/valid/NORTH CAROLINA/5.jpg,NORTH CAROLINA,JYA6839,7,0.9918,JYA6839,
161,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/OHIO/096.jpg,OHIO,FWW9864,7,0.9907,FWW9864,
162,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/PENNSYLVANIA/039.jpg,PENNSYLVANIA,GML4957,7,0.9915,GML4957,
163,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/TENNESSEE/058.jpg,TENNESSEE,HDR1466,7,0.987,HDR146,
164,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/TEXAS/100.jpg,TEXAS,LHD8448,7,0.9892,LHD8448,
165,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/VIRGINIA/095.jpg,VIRGINIA,LLA1000,7,0.9878,LLA1000,
166,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WASHINGTON/112.jpg,WASHINGTON,AET1738,7,0.9912,AET1738,
167,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WEST VIRGINIA/115.jpg,WEST VIRGINIA,NAU8777,7,0.9877,NAU877,
168,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/WISCONSIN/008.jpg,WISCONSIN,AJJ3558,7,0.978,AJ3558,
169,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ALASKA/023.jpg,ALASKA,AEI1960,7,0.9775,AE1960,
170,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ARKANSAS/137.jpg,ARKANSAS,WEC5333,7,0.9896,WEC533,
171,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/COLORADO/125.jpg,COLORADO,AGX1110,7,0.9808,AGXP10,
172,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/DELAWARE/105.jpg,DELAWARE,IBO4772,7,0.8343,186472,
173,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/FLORIDA/135.jpg,FLORIDA,DEP2416,7,0.9676,DEP21416,
174,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/INDIANA/122.jpg,INDIANA,BAY4869,7,0.9209,84Y4869,
175,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/valid/IOWA/3.jpg,IOWA,FDV2711,7,0.9423,FDV271,
176,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/KENTUCKY/073.jpg,KENTUCKY,ABA9133,7,0.9767,4BA913,
177,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/LOUISIANA/074.jpg,LOUISIANA,NOI2298,7,0.9865,NO12298,
178,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MAINE/130.jpg,MAINE,I931377,7,0.8135,193137,
